temp,potential,total,pressure
5.031952900920848,-1.6501,5.8682,41.303
4.953437685753913,-1.7084,5.7018,40.992
3.8678734431809394,-2.6525,3.2147,35.373000000000005
2.9653352311478813,-3.655,0.9604,27.248
2.9378929431811502,-3.6956,0.856,26.898
2.9109539195994527,-3.7361,0.7473,26.545
1.9715310910453057,-4.7053,-1.7975,18.584
1.959362815212493,-4.7164,-1.8224,18.514
0.9954408807660913,-6.0726,-4.6149,9.739
0.9861738427249956,-6.0941,-4.6574,9.589
0.797919027177122,-6.3969,-5.2437,7.099
0.795924864692773,-6.3989,-5.2471,7.086
0.6015146137975422,-6.7212,-5.8276,5.333
0.6003770367790973,-6.7242,-5.8322,5.316999999999999
0.59924375438197,-6.7271,-5.8367,5.300000000000001
0.5504425558148752,-6.8686,-6.0067,4.184
0.5485433431522592,-6.8718,-6.0136,4.1370000000000005
0.5025504435007664,-6.9266,-6.22,3.2529999999999997
0.5017561465127948,-6.9276,-6.2227,3.2329999999999997
0.4754727387705226,-6.9866,-6.2495,2.403
0.4740527241439793,-6.9924,-6.2512,2.3680000000000003
0.4663983321595642,-7.0357,-6.3085,2.5740000000000003
0.4657141260408711,-7.0406,-6.3179,2.663
0.46503192444161295,-7.0455,-6.3269,2.752
