0	0	3.8053e-17	0.00599064	-0.159914	0.030176	0.999995
50	0.05	4.94778e-17	0.25906	-7.94183	2.02798	0.989015
100	0.1	6.43809e-17	0.246504	-7.67337	3.61841	0.969934
150	0.15	4.83279e-17	0.287253	-7.54323	4.11705	0.959825
200	0.2	5.49122e-17	0.314751	-7.51139	4.17416	0.961366
250	0.25	6.19285e-17	0.319061	-7.62489	3.5101	0.966931
300	0.3	7.09686e-17	0.308158	-7.691	3.19947	0.973003
350	0.35	7.08876e-17	0.305266	-7.72695	3.01124	0.977205
400	0.4	8.69273e-17	0.295741	-7.73652	3.00018	0.977931
450	0.45	1.01331e-16	0.298457	-7.71806	3.08923	0.976925
500	0.5	9.87563e-17	0.296082	-7.71248	3.13642	0.975171
550	0.55	9.58545e-17	0.299226	-7.69597	3.21941	0.97524
600	0.6	9.36895e-17	0.299956	-7.70144	3.18	0.975823
650	0.65	1.0156e-16	0.298445	-7.69556	3.22296	0.974986
700	0.7	1.31647e-16	0.303024	-7.6982	3.18607	0.974854
750	0.75	9.05964e-17	0.300633	-7.71184	3.12461	0.97665
800	0.8	1.00687e-16	0.299941	-7.71292	3.1275	0.977475
850	0.85	9.92751e-17	0.300323	-7.71827	3.09207	0.97593
900	0.9	1.22792e-16	0.293764	-7.70759	3.18098	0.972456
950	0.95	1.35312e-16	0.298858	-7.68765	3.26554	0.969953
1000	1	1.34844e-16	0.299629	-7.68568	3.27304	0.968823
1050	1.05	1.07257e-16	0.302512	-7.69176	3.23222	0.970721
1100	1.1	9.84867e-17	0.302275	-7.70713	3.1512	0.973589
1150	1.15	1.16494e-16	0.298219	-7.71033	3.14951	0.975336
1200	1.2	9.50188e-17	0.299357	-7.70342	3.18439	0.977099
1250	1.25	9.26093e-17	0.299687	-7.70536	3.16956	0.977049
1300	1.3	8.95015e-17	0.297504	-7.70093	3.2019	0.975863
1350	1.35	1.0289e-16	0.301308	-7.69608	3.2089	0.97555
1400	1.4	1.01756e-16	0.300351	-7.706	3.16256	0.976041
1450	1.45	9.76141e-17	0.30016	-7.70509	3.17424	0.976426
1500	1.5	9.91034e-17	0.301441	-7.71315	3.11777	0.97653
1550	1.55	9.893e-17	0.29814	-7.71415	3.1246	0.975002
1600	1.6	8.78028e-17	0.298169	-7.70374	3.18595	0.973156
1650	1.65	1.13482e-16	0.299236	-7.70291	3.18972	0.97206
